Blank OD is 14.6332
Time OD Volume Z Media ODpost
22312.10 0.5000 0.5307 691.2896 599.2308 1.0 0.5393
22426.37 0.5000 0.5330 699.9883 600.8826 1.0 0.5213
22540.65 0.5000 0.5339 704.2277 602.5768 1.0 0.5185
22654.92 0.5000 0.5235 674.1788 603.7506 1.0 0.5097
22769.24 0.5000 0.5250 680.0570 605.0015 1.0 0.5066
22883.52 0.5000 0.5254 682.3832 606.2700 1.0 0.5086
22997.79 0.5000 0.5162 655.6714 607.0799 1.0 0.5054
23111.97 0.5000 0.5204 669.3799 608.1012 1.0 0.5167
23226.30 0.5000 0.5178 662.2537 608.9890 1.0 0.5134
23340.57 0.5000 0.5205 671.4486 610.0129 1.0 0.5097
23454.85 0.5000 0.5209 673.7407 611.0576 1.0 0.5104
23569.07 0.5000 0.5212 675.5735 612.1152 1.0 0.5119
23683.36 0.5000 0.5245 686.9676 613.3423 1.0 0.5344
23797.64 0.5000 0.5274 696.8189 614.7108 1.0 0.5178
23911.91 0.5000 0.5334 716.7108 616.3829 1.0 0.5185
24026.18 0.5000 0.5165 666.7881 617.2092 1.0 0.5001
24140.40 0.5000 0.5081 641.8273 617.6128 1.0 0.4993
24254.66 0.5000 0.5050 632.8130 617.8620 1.0 0.4987
24368.88 0.5000 0.5107 650.6030 618.3987 1.0 0.4880
24483.20 0.5000 0.5109 651.6958 618.9446 1.0 0.4900
24597.48 0.5000 0.5042 631.8549 619.1562 1.0 0.4959
24711.76 0.5000 0.5002 619.7881 619.1666 1.0 0.5033
24826.04 0.5000 0.5029 628.0964 619.3130 1.0 0.4963
24940.26 0.5000 0.5116 654.5920 619.8913 1.0 0.4964
25054.54 0.5000 0.5127 658.7243 620.5279 1.0 0.4986
25168.87 0.5000 0.5123 657.9295 621.1411 1.0 0.4956
25283.15 0.5000 0.5175 674.5071 622.0159 1.0 0.5033
25397.33 0.5000 0.5134 662.7909 622.6844 1.0 0.4987
25511.66 0.5000 0.5159 671.2211 623.4801 1.0 0.5157
